Game Name,Link1,PN3,Link2,NW,Link3,FTN,Link4,PVN,Link5,PVX2,Link6,PTN,Link7,PTNC,Link8,SteamVR,Link9,Quest,Link10,Mod,Link11,Special Notes,Link12
Mission X Arena,,,,,,X,,,,,,,,X,,,,X,https://missionxvr.com/,,,,
Onward,,,,,,,,X,,,,,,,,X,https://store.steampowered.com/app/496240/Onward/,X,https://www.oculus.com/experiences/quest/2677344882310094/,,,(enable in Settings>Haptics),
Pavlov VR,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/555160/Pavlov_VR/,,,,,(Quest option doesn't do anything),
ProHibition,,,,,,,,,,,,,,,,,,X,https://github.com/ProTubeVR/ProHibition/blob/master/Prohibition.apk,,,,
Resist,,,,,,X,,,,X,,,,X,,X,https://store.steampowered.com/app/1914750/Resist/,X,https://www.oculus.com/experiences/quest/3683568971682157/,,,(enable in Settings),
Medal of Honor Above and Beyond,,,,,,,,,,,,,,,,,,,,X,https://github.com/Astienth/MedalOfHonorAAB_bHaptics_ProVolver/releases/tag/1.0,,
Metal Hellsinger,,,,,,,,,,,,,,,,,,,,X,Metal Hellsinger,,
Pistol Whip,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/1079800/Pistol_Whip/,,,X,https://www.nexusmods.com/pistolwhip/mods/3,,
Resident Evil 7 Biohazard,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/418370/Resident_Evil_7_Biohazard/,,,X,https://github.com/Astienth/RE7_bHaptics_Provolver/releases/tag/1.0,,
Resident Evil Village,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/1196590/Resident_Evil_Village,,,X,https://github.com/Astienth/RE8_bHaptics_Provolver/releases/tag/1.0,,
Shock Troops,,,,,,,,,,,,,,X,,,,X,https://www.oculus.com/experiences/quest/5092088964195390/,,,,
Sniper Elite VR,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/752480/Sniper_Elite_VR/,X,https://www.oculus.com/experiences/quest/2544573735586536/,,,"Quest: (enable in Settings>Control p.2) if it doesn't connect, sit in game menu and take off headset - put it back on some 5 minutes later and it should connect",
Sniper Elite VR: Winter Warrior,,,,,,,,,,,,,,,,,,X,https://www.meta.com/en-gb/experiences/6011996155534803/,,,"Quest: (enable in Settings>Control p.2) if it doesn't connect, sit in game menu and take off headset - put it back on some 5 minutes later and it should connect",
STAND OUT : VR Battle Royale,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/748370/STAND_OUT__VR_Battle_Royale/,,,,,,
SURV1V3,,,,,,,,X,,,,,,,,X,https://store.steampowered.com/app/722180/SURV1V3/,,,,,(haptics only work when in a game),
Superhot VR,,,,,,,,,,,,,,,,X,,,,,,,
Sweet Surrender VR,,,,,,X,,,,,,,,X,,X,https://store.steampowered.com/app/638130/Sweet_Surrender_VR/,X,https://www.oculus.com/experiences/quest/4723352327707414/,,,(enable in Settings>Vibrations),
Tales of Glory 2 - Retaliation,,,,,,,,,,,,,,X,,X,https://store.steampowered.com/app/1089780/Tales_Of_Glory_2__Retaliation/,,,X,https://github.com/Astienth/Provolver_SuperHot/releases/tag/1.0,,
The Light Brigade,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/1579880/The_Light_Brigade/,,,X,https://www.nexusmods.com/thelightbrigade/mods/2/,,
The Living Remain,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/594220/The_Living_Remain/,,,X,https://www.nexusmods.com/thelivingremain/mods/2/,,
The Walking Dead Saints & Sinners 2 Retribution,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/1947500/The_Walking_Dead_Saints__Sinners__Chapter_2_Retribution,,,X,https://github.com/Astienth/TWDSS_Retribution_bhaptics_protube/releases/tag/1.0,,
Vertigo Remaster,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/1318090/Vertigo_Remastered/,,,X,https://www.nexusmods.com/vertigoremastered/mods/2,,
Vertigo 2,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/843390/Vertigo_2/,,,,,,
Virtual Battlegrounds,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/823940/Virtual_Battlegrounds/,,,,,,
VR Practical Shooting,,,,,,X,,,,,,,,X,,,,X,https://www.oculus.com/experiences/quest/3875542155842635/,,,,
Warchasm,,,,,,X,,,,X,,,,X,,X,https://store.steampowered.com/app/1184260/Warchasm/,X,https://www.oculus.com/experiences/quest/3619628068084513/,,,(choose L/R in settings),
War Dust VR: 32v32 Battlefields,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/957790/WAR_DUST__32_vs_32_Battles/,,,,,,
Zombieland VR Headshot Forever,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/1296970/Zombieland_VR_Headshot_Fever/,,,X,https://www.nexusmods.com/zombielandvrheadshotfever/mods/2/,,
